Hours Studied,Practice Tests Taken,Classes Missed,Sleep Hours,Previous Scores,Final Score
9.3,0,4,5.5,52.4,55.4
8.1,6,0,4.2,56.6,80.4
7.6,0,3,8.3,82.2,68.1
4.6,0,2,8.2,63.0,56.8
3.0,5,1,4.6,50.1,54.9
11.5,7,1,9.8,65.1,94.2
8.2,5,3,8.2,47.4,63.8
2.0,3,1,6.3,69.0,60.4
11.8,2,5,6.1,80.5,74.0
1.9,2,3,5.0,65.1,39.2
13.9,8,3,8.1,89.7,100.0
1.4,5,6,5.6,56.2,35.0
13.3,5,3,7.9,66.0,91.4
4.4,3,4,8.5,67.7,54.0
8.6,5,3,10.0,52.3,65.0
12.2,2,2,8.8,67.4,85.6
1.8,6,7,7.2,96.5,56.1
10.4,8,4,8.6,63.0,80.9
4.8,2,7,4.0,83.3,44.7
10.9,8,1,9.2,60.8,86.6
9.3,3,2,6.2,53.6,73.7
12.9,5,7,4.1,94.2,80.6
12.4,4,3,4.3,91.5,94.7
7.3,1,2,4.8,70.2,64.1
8.1,4,6,9.8,94.2,77.5
10.3,6,5,6.6,72.4,70.5
2.6,3,1,6.0,76.2,63.5
1.9,0,3,4.4,46.7,35.0
5.3,8,3,5.7,70.7,65.2
12.5,7,3,8.7,87.8,100.0
3.5,1,6,6.1,66.8,37.5
9.5,1,0,6.4,63.0,76.5
12.2,3,3,5.1,68.8,76.5
4.2,1,7,8.8,90.4,53.2
2.3,8,0,9.8,94.1,92.9
7.3,3,6,9.4,53.7,48.6
1.0,6,4,9.6,86.6,62.5
10.5,8,7,4.9,60.7,67.4
13.6,8,0,8.5,48.0,95.4
12.1,2,0,9.8,49.2,82.8
3.4,1,3,6.4,94.9,60.9
1.5,1,6,7.9,75.0,36.4
5.1,4,3,8.0,61.7,59.6
9.4,7,5,9.6,94.6,92.7
1.1,1,1,7.2,71.8,56.0
1.9,3,5,5.7,68.2,42.3
8.1,4,0,8.0,74.4,89.0
